Tweets;Score
"""Important data @tdsb @aarts_michelle 
At our school, roughly 70% of the #COVID19 cases in 2022 happened after mask mandates were dropped, despite the warmer weather and more possibility of outdoor time. What is the plan to protect kids and staff this Fall? #SafeSeptember #onted""";3
"""??????? https://t.co/TJMpifHgmB""";2
"""#Kinder zeigen robuste Antikörperantwort auch nach mildem #COVID.

Sie kommen gut mit #Corona zurecht, #Massnahmen wie #Maskenpflicht in #Schulen etc. sind unnötig.""";3
"""Ça fait mal hein ! Paraît qu’on s’habitue à la douleur à force !""";2
"""Growth in 7D US Confirmed Covid Deaths by County For IN 2022-07-11: Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth https://t.co/KzUjWpK3Nu""";3
"""??? #Reporte100 | Advierten subvariante BA.5 de #Ómicron sea la peor variante de toda la #pandemia ?? @maurodriguez, vocero de la #UNAM para #COVID19, nos informa.

¡Al aire con @juanczuniga! ???? https://t.co/CoytIecUx6 https://t.co/gKJlnKDjua""";4
"""?????? #15JUl || Desde la FANB te Invitamos acudir a los centros de vacunación más cercanos, para recibir la dosis de la inmunización contra la #Covid19. 

¡La prevención es la clave! 
.@PrensaFANB
.@PrensaCmdteGral https://t.co/mYgm5cJsqI""";5
"""#LauterbachRuecktrittSofort #LauterbachRuecktritt""";2
"""It fills me with rage to see so many wealthy privileged people writing from the safety of their own homes and health insurance and paid sick days saying #COVID19 is not a big deal anymore, not caring at all that over a million people have died in US &amp; millions have been disabled""";2
"""Growth in 7D US Confirmed Covid Deaths by County For KS 2022-07-11: Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth https://t.co/c8peytD3e7""";3
"""@wysyq @Congreso_Es En Perú, cuarta dosis a más jóvenes inclusive.

https://t.co/8bwWFnolXI""";2
"""#14Julio Debemos seguir en la lucha por combatir el Virus #COVID19 y sus variantes. Mantente saludable y ayuda a prevenir la propagacion del COVID19 en los espacios que frecuentes.
Visita tu centro de salud más cercano. Vacunate #elrefuerzoeslaclave
#ProtegeteDeLaCovid 
@mirelct https://t.co/nC3bH779Tj""";3
"""""Cette chambre d'enregistrement que vous désiriez, cette assemblée de Playmobil qui ne répond qu'aux injonctions de l'exécutif, elle est finie"", cingle @ElsaFaucillon. Le groupe GDR votera contre le projet de loi de veille sanitaire.
#DirectAN #Covid19 https://t.co/KKIXSapJhQ""";2
"""All up.""";2
"""??#Covid_19 #PREVENCIÓN??| protégete del #Covid19, sigue practicando las medidas de prevención #CrecimientoProductivo #YoSoyFANB #14Brigada #Venezuela #FANB https://t.co/qCSvrxuiGo""";3
"""Astounding to me that this still hasn't received major media coverage. Sars-2 vaccinated women significantly less likely to give birth prematurely, to have stillbirths, and have kids with congenital anomalies than unvaccinated women. Population-based study from Australia.""";4
"""There are too many chaos agents (esp. those w/ verified Blue Check Accounts) spreading misinformation about the #BidenHarris administration. 

Let’s be clear. This administration came in w/ a whole entire mess to clean up starting with the botched #COVID19 response from the…""";1
"""Hace algo más de 2 años, el #COVID19 cambió el destino de todo el mundo. En este tiempo, las y los sanitarios lo han dado todo para protegernos. Hoy reconocemos el trabajo de aquellos que nos cuidan y recordamos a quienes perdieron la vida por este virus. 
#AplausoParaElRecuerdo https://t.co/pYH4t4qHvO""";3
"""#Covid19 des réactions allergiques graves causées par le #vaccin #Novavax
#pharmacovigilance
Mais où est donc le bénéfice/risque ?
#EMA #ANSM #FDA #corruption
Les citoyens victimes des autorités sanitaires qui ne les protègent pas et des #conflitsdintérêt
https://t.co/DFHuh8UkEh""";3
"""Chapter 6 - COVID key finding:

""Those who were unvaccinated were 9 times
more likely to die of COVID-19 than another
cause compared to those who were vaccinated""

Full reports found here: https://t.co/XYysIEuY5k

#Leder21 #covid19 https://t.co/QbdzhLPvB3""";5
"""#COVID19 Vaccine Update: Everyone 6 months and older should get vaccinated against COVID-19. Getting vaccinated can help protect you from severe disease, hospitalization, and death from COVID-19.

Learn more: https://t.co/oV6NgGGUSb https://t.co/AYBmm4u8Fn""";5
"""""We expect to receive an initial supply and be able to begin rolling out this vaccine by the end of this month.” #COVID19 https://t.co/fkRoxudgwa""";2
"""NHS England Hospital Data 15th July

Admissions ?? 1,946
Inpatients ??13,975
Mechanical Ventilation ?? 287

#coronavirus #COVID19 #SARSCoV2 https://t.co/STsMxzr1wO""";2
"""Public health protections dropped by @GlennYoungkin —&gt;&gt; fast forward: #COVID19 cases and deaths rise. Governor Youngkin is remaking Virginia into DeSantis’s Florida.""";3
"""so cute, also need to do covid test
@MimicShhans @wwwweeee29 @JaneQianHUAI @connectfarm1 @shhan1211 
#mimicshhans #COVID19 https://t.co/XqH8uwZteX""";3
"""#15Jul #COVID19 no ha desaparecido y es responsabilidad de todos evitar el contagio al movilizarnos en transporte público o vehículo particular. Respeta el distanciamiento físico, las medidas de prevención y los protocolos establecidos. #NoBajemosLaGuardia #SiNosCuidamosAvanzamos https://t.co/0tey34b5Kr""";4
"""#Covid19 cases 
in #Mumbai for last 15 days of July

Take Care
Keep wearing Masks.

Get Vaccinated...
Get your Booster shot https://t.co/25IMKLdl93""";2
"""It's happening.. despite mainstream media silence. The World Economic Forum and its agents will go on trial. Guaranteed. Matter of time. Think Saddam Hussein holed up in a... hole.""";2
"""Reporte #COVID19 15 de julio de 2022 https://t.co/37YAe0LZsj""";3
"""COVID-19 UPDATE: #COVID19 cases, hospitalizations &amp; deaths are increasing across the country.

Since January 2020, 93% of COVID-19 related deaths have occurred in adults 50 years &amp; older. 

What you need to know on protection for yourself or loved ones 50+ in a thread below. ??""";5
"""#COVID19 Macron #SoignantsSuspendus #Passesanitaire #CesGensLa ?????? https://t.co/47PES6bKLr""";2
"""@ElCaribeRD Covid-19 continúa como el primer trinquete, las autoridades deben abrir los ojos #COVID19""";2
"""The government of Tanzania received a donation of 3 million #COVID19 Sinopharm vaccine doses donated by China 

https://t.co/qO1F5tAjoh""";4
"""I was vaccinated because I had had #Cancer. I was in remission”. I contracted #COVID19 in January I’m now having a liver biopsy, lung biopsy &amp; PET SCAN this month #vaccineinjured I’d love to hear ifthis happening to anyone else. #CancerUpticks #TripleNegative #metastatic""";1
"""We need a plan to get everyone in Manitoba access to their 4th dose. It doesn't make any sense that the @HStefansonMB government is dragging its feet on expanding eligibility to all Manitobans. #mbpoli #COVID19 https://t.co/wkTlzrsDvO""";1
"""Le guitariste Jeff Diamond a reçu l'injection Johnson&amp;Johnson #COVID19 le 09/07/2021; il est tombé dans le coma. A son réveil, il avait 8 doigts amputés. Il témoigne car il pense que ce qu'il lui est arrivé est un crime qui ne doit arriver à personne d'autre. #EffetsSecondaires https://t.co/IJERXDF9TA""";4
"""I was vaccinated because I had had #Cancer. I was in remission”. I contracted #COVID19 in January I’m now having a liver biopsy, lung biopsy &amp; PET SCAN this month #vaccineinjured I’d love to hear ifthis happening to anyone else. #CancerUpticks #TripleNegative #metastatic""";1
"""?? El mundo necesita jóvenes ?????????????? con las #habilidades relevantes para los #MercadosLaborales de hoy.

Inversiones en #educación son vitales para:

?? Equipar a los jóvenes
???? Cerrar brechas
?? Reparar las interrupciones experimentadas por 70% de los jóvenes durante la pandemia.""";2
"""Pr Raoult avait encore raison.
A force de mentir aux citoyens du monde, la réaction sans doute disproportionnée est là:

""Baisse continue de la vaccination infantile contre d'autres maladies dans le monde"".""";2
"""Now would be a great time to put on a high quality mask while in indoor public spaces. BA.5 is no joke. #MaskUp #covid19""";3
"""Barata era vacina paga em paraíso fiscal, urgente era vacina de $1,50 por $15, boa era a CoronaVac que o “John” ia vender por 3x o pago ao Butantan

O ministério fez negociação duvidosa no pior da pandemia enquanto recusava legítimas agora dá essa desculpa para não comprar vacina""";1
"""?? Des soignants positifs au #COVID19 doivent continuer de travailler, pendant que des soignants négatifs au Covid mais non-vaccinés n'ont pas le droit de le faire.

Une honte, un scandale.

#DirectAN #NUPES https://t.co/OgYPFkaEo5""";3
"""Pour la 1ère fois au parlement ????, la vérité sur les #effetsindesirables des ?? émerge.
Christopher Chope :
""En raison de la vaccination par le #COVID19 , nos citoyens subissent des préjudices bien plus importants que tout autre programme de vaccination dans l'histoire."" https://t.co/XUWIwA3iWl""";2
"""The people of Zurich Switzerland demand the arrests of #KlausSchwab #BillGates and many corrupt politicians #WEFpuppets involved in crimes against humanity .. people demand justice..

#WEF 
#COVID19
#Davos 
#Agenda2030 https://t.co/Wvay2hnE7x""";2
"""#Breaking | ??????????? ????? 2,312 ???????? ?????? ????????

#UpdateNews360 | #TamilNadu | #CoronaVirus | #CoronaCases | #Covid19 | #TamilNews | https://t.co/XT0qtZxL7j https://t.co/7JVjsu9Ha7""";3
"""#TomaNota || La pandemia de la #COVID19 continúa presente y la prevención sigue siendo fundamental para cortar las cadenas de contagios. Recuerda que tu salud y la de los tuyos es lo más importante.

#15Jul https://t.co/7tjb9tf1fE""";4
"""While the literature has focused on pandemic challenges, less is known about what was done well in LTC facilities that avoided outbreaks, write Mélanie Lavoie-Tremblay @UMontreal et al in ""Lessons from 
#LongTermCare Facilities without #COVID19 Outbreaks"".
https://t.co/82OBxXaEuG https://t.co/HeVKPZo4ja""";1
"""Growth in 7D US Confirmed Covid Deaths by County For IN 2022-07-11: Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth https://t.co/COaCAeJLNw""";1
"""Le Danemark a rejoint le club, supprimant toutes les restrictions de voyage – quel que soit le statut vaccinal.

Et en #France, ils voudraient le préserver !

#antivax #PassSanitaire #PassDeLaHonte #vaccination #covid19 #covid19""";2
"""https://t.co/3UnR4CtJPA""";2
"""#COVID19 Seguimos mirando hacia otro lado con las cifras de muertos en este país. Hoy 400 más.
YO ME NIEGO""";5
"""1?8? million children did not receive a single vaccine in 2021 - the largest ?? in 29 years, due to:

?? #COVID19-related disruptions
?? emergencies
?? misinformation undermining vaccine acceptance &amp; demand

WHO &amp; @UNICEF sound the alarm ??

?? data on global vaccine coverage ??""";4
"""so cute, also need to do covid test
@MimicShhans @wwwweeee29 @JaneQianHUAI @connectfarm1 @shhan1211 
#mimicshhans #COVID19 https://t.co/XqH8uwZteX""";2
"""NHS England Hospital Data 15th July

Admissions ?? 1,946
Inpatients ??13,975
Mechanical Ventilation ?? 287

#coronavirus #COVID19 #SARSCoV2 https://t.co/STsMxzr1wO""";4
"""vite 1 loi pour interdire la vente de graines et la culture d'artemisia, des journaleux et une horde de NFM pour expliquer que boire de l'artemisia est dangereux-parlez-en-a-votre-medecin
""fake! l'artemsia ne soigne pas le covid"" 
manquerait + que les gens se soignent seuls !""";4
"""Barata era vacina paga em paraíso fiscal, urgente era vacina de $1,50 por $15, boa era a CoronaVac que o “John” ia vender por 3x o pago ao Butantan

O ministério fez negociação duvidosa no pior da pandemia enquanto recusava legítimas agora dá essa desculpa para não comprar vacina""";2
"""Die erschreckende Parallele zwischen #Contergan und #COVID19-""Impfungen"": Beides wurde für Patientengruppen empfohlen, die niemals klinisch getestet wurden, Contergan für Schwangere, ""Impfungen"" für Alte und Vorerkrankte. @SHomburg @PEI_Germany @snowcrash729 @M_T_Franz @bait_doll https://t.co/1FWPn9r6Kz""";4
"""Good time to remind people that #LongCOVID is more common in younger ages, per @CDCgov. https://t.co/9gvfgUSHBh""";5
"""Good time to remind people that #LongCOVID is more common in younger ages, per @CDCgov. https://t.co/9gvfgUSHBh""";3
"""The #Karnataka government has prepared district-wise micro plans for conducting workplace vaccinations along with door-to-door inoculation drive to implement the 75-days COVID Vaccine Amrit Mahotsav.

#COVID19
https://t.co/QXvYTiUPmz""";2
"""Growth in 7D US Confirmed Covid Deaths by County For KS 2022-07-11: Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth https://t.co/P1DCqP1Ja9""";3
"""Public health protections dropped by @GlennYoungkin —&gt;&gt; fast forward: #COVID19 cases and deaths rise. Governor Youngkin is remaking Virginia into DeSantis’s Florida.""";5
"""Pour la 1ère fois au parlement ????, la vérité sur les #effetsindesirables des ?? émerge.
Christopher Chope :
""En raison de la vaccination par le #COVID19 , nos citoyens subissent des préjudices bien plus importants que tout autre programme de vaccination dans l'histoire."" https://t.co/XUWIwA3iWl""";5
